Station Code,Location,State,Temp,D.O. (mg/l),B.O.D. (mg/l),PH,Conductivity (µmhos/cm),TDS,Nitrate + Nitrite (mg/l),Fecal Coliform (MPN/100ml),Total Coliform (MPN/100ml),Year
3351,UMKHEN AT KSEHPONGDENG,MEGHALAYA,21,8.2,1.2,7.1,49,39.2,2.81,15,32,2012
3352,"UMKHEN AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA,21,7.8,1.5,7.1,58,34.8,2.97,19,43,2012
3359,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA,18,3.9,16.9,7.1,235,164.5,16.61,16500,23000,2012
3360,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA,18,4.9,14.2,7.1,182,145.6,11.61,10417,15500,2012
3361,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA,19,2.7,35.4,7.1,281,196.7,14.84,41000,62667,2012
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,19,2.5,37.2,7.1,382,267.4,11.81,53083,87167,2012
3357,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA,18,8,1.4,7,48,33.6,3.8,17,41,2012
3358,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA,24,8.4,1.2,7.1,48,38.4,3.08,18,45,2012
3363,"UMSHYRPI AT RISA COLONY, EAST KHASI HILLS",MEGHALAYA,17,6.8,1.9,6.6,49,34.3,3.07,18,38,2012
3364,"UMSHYRPI  AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA,18,2.1,45.6,7,286,171.6,10.61,51250,84500,2012
3365,"UMSHYRPI AT UMSHYRPI BDG, EAST KHASI HILLS",MEGHALAYA,19,4,22.4,7.1,194,155.2,10.47,29500,45250,2012
1427,UMTREW AT BYRNIHAT EAST,MEGHALAYA,24,7.7,6.6,7.2,107,64.2,3.02,285,425,2012
3366,"UMTREW RIVER AT UMRAN, RINAN BHOI",MEGHALAYA,22,7.6,2,7.1,51,40.8,2.6,37,81,2012
3373,"WAH BLEI AT RIANGDO, WEST KHASI HILLS",MEGHALAYA,20,7.7,1.6,7.1,46,27.6,3.93,8,22,2012
3374,"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",MEGHALAYA,20,7.7,1.9,7.1,49,29.4,3.89,11,26,2012
2050,TLAWNG UPSTREAM AIZAWL,MIZORAM,24,6.5,1,7.4,297,237.6,0.13,26,438,2012
2051,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,24,6.3,0.9,7.5,287,200.9,0.14,5,204,2012
2052,TUIRIAL UPPER CATCHMENT,MIZORAM,24,6.5,1.1,7.2,375,262.5,0.17,33,625,2012
2053,TUIRIAL LOWER CATCHMENT,MIZORAM,24,6.9,1.1,6.9,349,244.3,0.18,38,503,2012
1403,GUMTI AT U/S SOUTH TRIPURA,TRIPURA,28,6.6,1.6,7.8,165,99, ,268,316,2012
1404,GUMTI AT D/S SOUTH TRIPURA,TRIPURA,28,6.4,3.9,8,155,124,0.5,512,516,2012
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER",TRIPURA,27,6.5,4.2,8,168,117.6,0.99,488,616,2012
1393,DAMANGANGA AT D/S OF MADHUBAN,DAMAN & DIU,29.1,6.7,5,7.7,218,130.8,1.31,,,2011
2459,DAMANGANGA AT ZUARI CAUSE WAY BRIDGE,"DAMAN, DIU, DADRA NAGAR HAVELI",27,4.2,18,7.9,4909,3436.3,7,,,2011
2460,DAMANGANGA AT DISCHARGE POINT OF DISTILLERY,"DAMAN, DIU, DADRA NAGAR HAVELI",28.1,4.6,158.8,8,23576,18860.8,6.88,35,46,2011
2461,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN","DAMAN, DIU, DADRA NAGAR HAVELI",29.1,4.8,164,7.8,65700,52560,3.42,,,2011
2462,"DAMANGANGA AT VAPI WEIR,VAPI","DAMAN, DIU, DADRA NAGAR HAVELI",27.7,6.7,,8.5,235,188,3.1,,,2011
2463,"DAMANGANGA AT LAVACHA TEMPLE, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",27.1,6.7,,8.3,262,157.2,,,,2011
2464,"DAMANGANGA AT D/S OF M/S SURAT BEVERAGES, VILLAGE DADRA, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",27.1,6.8,,7.8,227,181.6,,,,2011
2465,"DAMANGANGA AT NAROLI BRIDGE, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",27.3,6.8,,8.5,249,174.3,0.11,,,2011
2466,"DAMANGANGA AT VILLAGE NAMDHA, VAPI","DAMAN, DIU, DADRA NAGAR HAVELI",27,4.2,42,8.2,2754,1927.8,,,,2011
1150,DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT,27.6,7.1,1.4,7.3,212,169.6,0.84,3,6,2011
1246,DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT,28.2,5,4.1,8.3,12771,8939.7,1.48,7,30,2011
1860,BALEHWAR KHADI AT N.H. NO. 8,GUJARAT,28,6.7,1.5,8,304,182.4,0.18,1500,3550,2011
1861,PURNA ON BRIDGE AT SURATNANNAVSARI HIGHWAY,GUJARAT,28.5,5.8,2.5,7.7,1315,1052,0.22,1900,6800,2011
1862,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,29.5,5.9,3.9,7.6,36593,29274.4,0.07,1200,3200,2011
1865,DHADAR AT KOTHADA,GUJARAT,27,7.6,10,7.7,1291,903.7,0.34,23,77,2011
1148,AMBIKA AT BILIMORA,GUJARAT,29.5,6,3.6,7.7,18865,13205.5,3.12,900,2450,2011
1435,"KOLAK AT RAILWAY BRIDGE NO. 313 VAPI,VALSAD",GUJARAT,27,4.3,6.5,8.4,605,363,1.68,5,15,2011
1149,KOLAK AT PATALIA BDG.,GUJARAT,26.7,3.7,4.3,8.2,600,360,1.66,6,20,2011
1438,MINDHOLA AT STATE HIGHWAY BRIDGE SACHIN,GUJARAT,27,4.6,4,7.2,729,583.2,0.33,900,2300,2011
2082,"TRIVENI SANGAM, NR. SOMNATH TEMPLE, VERAVAL, DIST. JUNAGADH.",GUJARAT,26.8,6.2,1.3,8.4,2670,1602,0.24,,,2011
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS, GOA",GOA,28.7,6.8,1.1,6.5,43,25.8,0.42,8,178,2011
1475,ZUARI AT PANCHAWADI,GOA,29.3,6.6,1.1,7,59,35.4,0.27,8,113,2011
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,28.8,6,1.5,6.2,106,84.8,0.28,9,166,2011
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA,28.3,5.9,1.1,6.6,516,361.2,0.18,8,169,2011
1543,RIVER KALNA AT CHANDELNAN PERNEM,GOA,25.8,7.3,0.9,6.1,87,52.2,0.33,6,169,2011
1548,RIVER ASSONORA AT ASSONORA,GOA,28.3,7.3,1.5,5.9,74,44.4,0.22,8,163,2011
2276,RIVER BICHOLIM VARAZAN NAGAR,GOA,27.8,6.7,2,6.3,127,101.6,0.44,10,149,2011
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,26,6.8,1.6,6.2,226,135.6,0.18,9,151,2011
1546,RIVER KHANDEPAR AT OPA NAN PONDA,GOA,27.8,7.1,1.8,5.9,93,55.8,0.28,9,131,2011
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,26.3,7.4,1.3,6.2,76,45.6,0.41,11,133,2011
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,25.7,7.3,1.2,6.2,113,79.1,0.33,9,137,2011
1545,RIVER MADAI AT DABOS NAN  VALPOI,GOA,29,7.3,1.3,5.9,100,60,0.27,6,173,2011
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANANPANAJI,GOA,26.9,6,1.8,5.9,273,163.8,0.31,10,171,2011
2271,"RIVER SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAONAN CANACONA NATIONAL HIGHWAY)",GOA,27,6.1,2,6.5,201,160.8,0.43,9,149,2011
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,27.5,6.2,1.8,6.3,245,171.5,0.31,7,135,2011
1547,RIVER TALPONA AT CANACONA,GOA,28.3,7,0.9,6.5,75,52.5,0.22,7,166,2011
1544,"VALVANT AT SANKLI NAN BICHOLIM, GOA",GOA,29,7.3,1.6,6,74,44.4,0.11,8,181,2011
2651,"AMBA RIVER AT D/S OF WAKEN BRIDGENANU/S OF JS PETRO CHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,28.2,7.1,3.3,7.9,108,86.4,0.42,65,137,2011
1461,"BHATSA AT D/S OF PISE DAM NR PISE VILL (ULHAS), MAHARASHTRA",MAHARASHTRA,,7.1,4.4,7.7,111,66.6,0.32,,,2011
2653,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.4,7,3.5,8,129,90.3,0.49,40,105,2011
2654,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,27.3,7,3.3,8,130,78,0.46,33,93,2011
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,28.5,5.7,6.3,7.4,2323,1626.1,1.47,400,541,2011
2670,"KAN RIVER NEAR SAKRI WATER WORKS, SAKRI, DHULE",MAHARASHTRA,28.4,5.9,4.9,7.6,462,277.2,2.47,23,63,2011
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA,28.4,7,3.8,7.7,107,85.6,0.4,131,285,2011
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,28.9,6.2,5.1,7.4,299,209.3,0.95,209,401,2011
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,28.2,5.9,6.8,7.8,33259,19955.4,1.61,114,228,2011
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL, DHATAV, ROHA, RAIGAD",MAHARASHTRA,28.9,7.2,3.2,7.9,77,53.9,0.42,164,282,2011
2168,MITHI RIVER,MAHARASHTRA,27,3.2,46,7.4,28018,16810.8,1.67,908,1164,2011
2676,"MUCHKUNDI RIVER AT WAKED NEAR M/S ASAHI INDIA GLASS LTD, WAKED, LANJA, RATNAGIRI",MAHARASHTRA,27.9,6.8,2.6,7.8,350,280,1.99,2,72,2011
1151,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA,26.8,6.9,3.2,7.5,133,106.4,0.55,252,409,2011
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,27.2,6.9,3.4,7.5,143,85.8,0.54,149,307,2011
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, KHARPADA, KHALAPUR, RAIGAD",MAHARASHTRA,26.8,6.1,4.2,6.9,609,487.2,3.1,65,135,2011
2686,"PATALGANGA RIVER AT VYAL PUMP HOUSE, VYAL, KHALAPUR, RAIGAD",MAHARASHTRA,26.9,6.8,3.2,7.4,129,77.4,0.86,51,133,2011
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD",MAHARASHTRA,26.8,6.7,3.2,7.4,130,78,0.75,45,124,2011
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR. RAIGAD",MAHARASHTRA,26.9,6.6,5,7.4,130,78,0.74,67,158,2011
2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, KHALAPUR, RAIGAD",MAHARASHTRA,26.9,6.7,3.6,7.5,120,96,0.73,85,226,2011
2696,"PEHLAR DAM ON PEHLAR R. INLET OF WATER WORKS, VASAI, THANE.",MAHARASHTRA,26.2,7.1,3.2,7.9,139,97.3,0.45,74,147,2011
2199,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA,27.4,6,59.1,7.4,13925,11140,3.08,4,116,2011
2701,"SAVITRI JACKWELL AT UPSA KENDRE, NANGALWADI, MAHAD, RAIGAD",MAHARASHTRA,26.4,6.7,2.3,7.7,274,164.4,2.04,5,88,2011
2702,"SAVITRI AT SHEDAV DOH,,RAIGAD",MAHARASHTRA,26.7,6.3,2.5,7.9,326,260.8,2.32,2,71,2011
2703,SAVITRI RIVER AT DADLI BRIDGE,MAHARASHTRA,27.3,6.3,2.4,7.9,7392,5174.4,6.41,4,71,2011
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,27.4,6.3,4.4,7.7,12051,8435.7,5.37,4,102,2011
2706,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA,27.6,7,3.8,8.3,162,97.2,0.48,44,90,2011
2707,"SURYA RIVER AT MIDC PUMPING STN, GARVASHET, PALGHAR, THANE",MAHARASHTRA,27.5,7,3.6,8.3,212,127.2,0.44,47,90,2011
2708,"SURYA AT INTAKE OF VASAINANVIRAR W/S SCHEME, MASVAN, PALGHAR",MAHARASHTRA,27.5,7.1,3.2,8.3,227,158.9,0.48,67,124,2011
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA,26.9,6.8,4.3,8.2,314,219.8,0.45,28,69,2011
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,25.9,6.8,3.4,7.8,151,105.7,0.5,601,740,2011
1094,ULHAS AT U/S OF BADLAPUR,MAHARASHTRA,25.9,7,3.4,7.8,123,86.1,0.44,42,100,2011
2162,ULHAS ATJAMBHUL WATER WORKS.,MAHARASHTRA,26,6.9,3.3,7.8,139,111.2,0.76,85,169,2011
2712,"VAITARNA NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE",MAHARASHTRA,26.9,6.8,4,8.2,313,219.1,0.49,49,99,2011
2164,VASHISTI AT U/S OF THREE M PAPER MILLS NEAR M/S MULTIFILMS PLASTIC PVT. LTD. AT KHERDI.,MAHARASHTRA,24.8,6.7,2.5,7.8,215,129,0.83,2,51,2011
